	PolyIC...Bf	PolyIC...Bf.1	PolyIC...Bf.2	PolyIC...Bf.3	PolyIC...Bf.4	PolyIC...Bf.5	PolyIC...Bf.6	PolyIC...Bf.7	PolyIC...Bf.8	PolyIC...Bf.9	PolyIC	PolyIC.1	PolyIC.2	PolyIC.3	PolyIC.4	PolyIC.5	PolyIC.6	PolyIC.7	PolyIC.8	PolyIC.9
1252	0	2	1	3	1	1	0	0	2	0	2	3	0	1	1	1	0	0	0	0
1253	0	1	3	2	1	0	0	3	1	4	4	2	0	0	0	2	2	3	5	0
1528	3	2	1	3	2	4	2	1	3	1	2	1	2	3	3	1	1	1	3	7
308	2	1	0	0	0	0	1	0	3	4	0	1	0	0	0	0	0	1	0	1
309	1	0	1	0	2	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0
300	0	1	2	2	1	0	3	2	0	1	0	0	0	1	1	1	1	0	1	0
301	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	2	0
302	2	0	0	0	2	1	0	0	0	0	2	0	0	0	0	1	0	0	2	0
303	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	2
305	12	4	5	13	3	11	15	18	7	19	7	7	9	10	10	19	7	4	9	30
306	0	0	2	0	0	0	0	0	0	0	0	0	2	3	3	0	0	0	0	0
476	2	1	0	3	0	0	0	2	2	0	1	1	0	1	0	0	0	0	2	0
950	1	0	5	10	0	5	1	3	4	3	1	0	2	2	2	4	2	0	4	3
956	0	0	0	1	0	0	2	1	0	0	7	2	1	5	0	0	13	2	8	2
666	0	1	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0
1261	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
717	0	1	0	0	0	0	2	0	0	0	1	0	0	0	1	1	0	1	0	0
663	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0
710	1	0	1	0	0	0	0	1	0	0	0	1	0	2	0	1	1	0	0	1
1264	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	5	0
1084	3	3	3	7	7	8	3	7	2	3	2	3	6	1	5	10	3	2	4	3
594	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
599	0	0	0	1	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0
598	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	1	0	0	1	0
449	0	2	1	2	4	1	2	3	0	4	2	1	2	0	0	0	0	1	1	1
448	0	2	1	0	1	0	1	1	0	0	1	1	0	1	1	0	0	1	0	0
443	0	0	0	2	0	1	2	3	1	0	1	0	1	1	0	3	0	0	1	0
1336	0	2	0	2	0	1	1	1	0	0	1	0	1	1	0	0	2	1	1	0
1331	0	1	1	4	0	2	0	0	3	1	0	2	3	2	2	2	0	0	3	1
446	1	5	2	5	0	0	2	0	4	0	2	4	1	1	2	2	4	2	1	1
445	0	0	0	0	2	0	1	1	4	0	1	1	0	0	0	0	0	1	0	0
444	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
39	10	3	2	2	6	17	14	4	2	6	4	8	0	1	0	2	14	9	5	1
38	1	0	0	0	6	1	0	3	11	0	3	7	0	0	0	2	15	3	170	20
33	1	0	3	2	1	1	6	1	4	1	2	3	2	0	1	2	0	0	0	1
32	4	33	8	2	19	13	1	31	3	22	18	0	0	0	1	6	49	33	1	2
31	9	8	4	21	13	7	24	37	14	18	5	5	28	29	4	6	12	7	18	26
30	17	21	9	23	8	21	54	31	21	17	17	26	3	19	15	14	12	12	3	28
37	4	13	3	4	6	9	16	15	20	12	3	6	14	12	14	11	6	5	3	9
36	0	3	1	1	2	7	2	2	1	3	0	0	1	0	0	0	1	0	0	0
35	2	58	69	0	2	0	1	8	0	4	4	9	10	7	21	5	2	1	1	0
34	1	15	12	5	0	4	9	9	6	16	2	15	9	6	8	7	11	6	10	11
645	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	3	0	0	0	0
649	0	0	0	0	0	1	2	2	0	0	1	0	0	0	0	1	0	0	0	0
1248	39	42	49	34	49	39	25	27	7	39	31	39	30	27	11	22	17	23	10	14
339	11	4	3	6	5	7	5	3	9	4	4	3	7	11	2	6	3	1	5	7
335	1	0	0	2	1	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0
334	0	0	2	0	2	0	2	1	2	1	3	1	0	0	6	0	1	2	1	0
336	1	0	1	1	3	7	7	3	3	1	2	2	6	0	29	0	15	2	15	1
330	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	1	0
333	1	0	0	3	0	0	2	0	1	1	0	0	0	0	1	0	0	0	1	0
332	0	1	1	2	0	0	1	0	0	2	0	2	3	1	0	0	0	0	1	1
8	41	69	30	8	22	53	27	22	113	63	10	72	28	6	9	8	7	33	4	10
949	0	2	0	5	4	0	1	2	0	0	2	1	5	2	4	0	2	2	0	3
944	0	0	0	0	0	0	0	2	0	3	1	1	0	0	0	0	0	0	2	0
942	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
133	0	0	0	1	0	28	2	3	0	0	5	0	2	0	0	0	0	0	6	2
132	0	0	2	0	0	1	1	1	0	6	1	1	0	0	0	3	2	0	6	0
131	1	2	0	1	0	0	2	1	1	1	2	2	1	2	0	0	0	0	0	0
130	3	0	1	1	1	4	0	6	6	0	8	3	0	0	0	2	1	2	5	0
137	0	0	1	1	0	0	0	2	0	0	0	1	0	1	0	4	1	0	1	0
136	2	1	1	1	0	0	0	3	1	0	0	0	1	2	1	0	0	0	0	2
135	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	15	1
139	0	1	2	2	1	1	1	1	1	1	1	4	1	1	1	1	0	1	1	0
138	4	1	2	0	0	0	3	1	1	1	3	0	1	1	1	0	2	1	4	2
708	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
709	1	1	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
706	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	2
700	2	1	0	1	0	1	0	0	0	1	0	0	1	2	2	0	0	0	0	1
701	3	2	2	3	1	0	0	0	5	5	2	4	1	3	4	4	0	2	2	2
702	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1
88	0	0	0	0	0	1	0	1	0	0	3	0	1	0	1	0	1	1	2	1
89	3	1	4	1	0	2	0	3	2	3	4	2	0	1	1	3	3	4	0	1
82	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	34	0	31	13
83	3	3	2	0	3	3	1	2	2	0	5	3	1	1	0	2	3	0	5	10
80	1	4	3	1	12	7	1	10	5	27	5	5	0	1	0	2	11	3	19	6
81	10	0	1	1	5	5	6	2	10	5	13	6	1	3	1	2	2	4	4	2
86	0	0	1	2	0	10	0	1	1	1	2	3	3	0	2	1	2	1	2	3
87	1	2	3	3	0	1	2	3	2	4	3	3	3	4	2	2	5	1	1	2
84	12	4	0	0	2	0	2	0	0	4	14	10	0	0	1	0	1	1	0	0
85	0	0	0	0	0	1	0	1	0	0	0	3	1	0	1	1	0	0	0	1
585	1	0	1	0	1	3	0	1	2	2	6	2	1	0	0	1	0	0	1	0
582	1	1	0	0	0	0	1	3	0	1	1	0	0	1	0	2	3	0	0	1
580	1	0	0	1	0	0	0	2	0	0	0	0	2	0	1	0	0	2	0	0
418	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0
458	0	0	0	1	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0
459	1	1	1	0	0	0	2	0	0	0	0	0	1	0	0	1	0	1	0	0
